gene,reviewed_human_canonical_accession,mapping_source
ADAM12,O43184,UniProt reviewed human canonical entry; frozen 2026-07-14
COMP,P49747,UniProt reviewed human canonical entry; frozen 2026-07-14
COL5A1,P20908,UniProt reviewed human canonical entry; frozen 2026-07-14
POSTN,Q15063,UniProt reviewed human canonical entry; frozen 2026-07-14
FAP,Q12884,UniProt reviewed human canonical entry; frozen 2026-07-14
ASPN,Q9BXN1,UniProt reviewed human canonical entry; frozen 2026-07-14
COL12A1,Q99715,UniProt reviewed human canonical entry; frozen 2026-07-14
COL16A1,Q07092,UniProt reviewed human canonical entry; frozen 2026-07-14
OGN,P20774,UniProt reviewed human canonical entry; frozen 2026-07-14
C1QTNF3,Q9BXJ4,UniProt reviewed human canonical entry; frozen 2026-07-14
PI16,Q6UXB8,UniProt reviewed human canonical entry; frozen 2026-07-14
DCN,P07585,UniProt reviewed human canonical entry; frozen 2026-07-14
APOD,P05090,UniProt reviewed human canonical entry; frozen 2026-07-14
ABCA8,O94911,UniProt reviewed human canonical entry; frozen 2026-07-14
C3,P01024,UniProt reviewed human canonical entry; frozen 2026-07-14
ABCA10,Q8WWZ4,UniProt reviewed human canonical entry; frozen 2026-07-14
GSTM5,P46439,UniProt reviewed human canonical entry; frozen 2026-07-14
NEGR1,Q7Z3B1,UniProt reviewed human canonical entry; frozen 2026-07-14
