scenario,axis_id,ligand,receptor,expected_delta,dataset_id,donor_id,oriented_delta
all_matrices_distinct,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:KF1_matrix,0.154849645649061
all_matrices_distinct,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:KF2_matrix,0.0524803120275105
all_matrices_distinct,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:KF3_matrix,0.0713191904474957
all_matrices_distinct,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:NF1_matrix,0.0595929180788324
all_matrices_distinct,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:NF2_matrix,0.034945175908381
all_matrices_distinct,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:NF3_matrix,0.0364886817295592
all_matrices_distinct,CSF1_CSF1R,CSF1,CSF1R,negative,GSE181297,GSE181297:GSM5494438_Ke01,0.0585968990137355
all_matrices_distinct,CSF1_CSF1R,CSF1,CSF1R,negative,GSE181297,GSE181297:GSM5494439_Ke02,0.0471601880207317
all_matrices_distinct,CSF1_CSF1R,CSF1,CSF1R,negative,GSE181297,GSE181297:GSM5610149_NS02,0.0942442518479341
all_matrices_distinct,CSF1_CSF1R,CSF1,CSF1R,negative,GSE243716,GSE243716:P1,0.0470625975624232
all_matrices_distinct,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:KF1_matrix,2.2993692528051
all_matrices_distinct,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:KF2_matrix,1.99875522879537
all_matrices_distinct,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:KF3_matrix,2.67483235862722
all_matrices_distinct,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:NF1_matrix,0.349624523976756
all_matrices_distinct,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:NF2_matrix,1.29743146616859
all_matrices_distinct,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:NF3_matrix,0.530475205899595
all_matrices_distinct,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE181297,GSE181297:GSM5494438_Ke01,0.92043186095089
all_matrices_distinct,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE181297,GSE181297:GSM5494439_Ke02,0.295512066154411
all_matrices_distinct,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE181297,GSE181297:GSM5610149_NS02,0.793889108038143
all_matrices_distinct,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE243716,GSE243716:P1,0.539041514123894
all_matrices_distinct,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:KF1_matrix,0.690156646702062
all_matrices_distinct,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:KF2_matrix,1.38729200961263
all_matrices_distinct,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:KF3_matrix,1.22301849648782
all_matrices_distinct,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:NF1_matrix,-0.052607361833052
all_matrices_distinct,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:NF2_matrix,-0.0280695340684787
all_matrices_distinct,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:NF3_matrix,0.464471410743253
all_matrices_distinct,MIF_CD74,MIF,CD74,positive,GSE181297,GSE181297:GSM5494438_Ke01,0.157803496670965
all_matrices_distinct,MIF_CD74,MIF,CD74,positive,GSE181297,GSE181297:GSM5494439_Ke02,1.81039322081656
all_matrices_distinct,MIF_CD74,MIF,CD74,positive,GSE181297,GSE181297:GSM5610149_NS02,0.595261061265179
all_matrices_distinct,MIF_CD74,MIF,CD74,positive,GSE243716,GSE243716:P1,-0.1474749168554034
all_matrices_distinct,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:KF1_matrix,0.0998398560765725
all_matrices_distinct,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:KF2_matrix,0.0299840630536238
all_matrices_distinct,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:KF3_matrix,0.051312376954446
all_matrices_distinct,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:NF1_matrix,0.0316318036027826
all_matrices_distinct,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:NF2_matrix,0.0275762639065462
all_matrices_distinct,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:NF3_matrix,0.0054871959419537
all_matrices_distinct,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE181297,GSE181297:GSM5494438_Ke01,0.0914167617300259
all_matrices_distinct,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE181297,GSE181297:GSM5494439_Ke02,0.015361309707659
all_matrices_distinct,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE181297,GSE181297:GSM5610149_NS02,0.160556865486453
all_matrices_distinct,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE243716,GSE243716:P1,0.1062360229548824
all_matrices_distinct,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:KF1_matrix,0.513546609102695
all_matrices_distinct,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:KF2_matrix,0.880220035302991
all_matrices_distinct,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:KF3_matrix,0.801762835567562
all_matrices_distinct,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:NF1_matrix,-0.0055452023653584
