"dataset_id","sample_id","condition","axis_id","ligand","receptor","expected_delta","high_fibro_cells","low_fibro_cells","myeloid_cells","downstream_target_n_removed","high_score","low_score","delta_high_minus_low","expected_direction_support"
"GSE191067","HK1","keloid","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",538,538,171,50,0.196162669594101,0.0176399985158611,0.17852267107824,TRUE
"GSE191067","HK1","keloid","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",538,538,171,50,0.0243191037837086,0.0100504594679291,0.0142686443157795,TRUE
"GSE191067","HK1","keloid","CXCL12_CXCR4","CXCL12","CXCR4","negative",538,538,171,50,0.503190086356527,2.52630103880063,-2.02311095244411,TRUE
"GSE191067","HK1","keloid","CSF1_CSF1R","CSF1","CSF1R","negative",538,538,171,50,0.00184801400483623,0.0423660276812419,-0.0405180136764057,TRUE
"GSE191067","HK1","keloid","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",538,538,171,50,0.0261048651913112,0.0695521897432646,-0.0434473245519535,TRUE
"GSE191067","HK1","keloid","MIF_CD74","MIF","CD74","positive",538,538,171,50,5.16075486406475,4.19257105207618,0.96818381198857,TRUE
"GSE191067","HK2","keloid","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",269,269,262,50,0.176325216135307,0.0235962818455651,0.152728934289742,TRUE
"GSE191067","HK2","keloid","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",269,269,262,50,0.0468543008976216,0.012118783087133,0.0347355178104886,TRUE
"GSE191067","HK2","keloid","CXCL12_CXCR4","CXCL12","CXCR4","negative",269,269,262,50,1.14013699916158,4.70008605392102,-3.55994905475944,TRUE
"GSE191067","HK2","keloid","CSF1_CSF1R","CSF1","CSF1R","negative",269,269,262,50,0.0128015833581815,0.148224961631302,-0.135423378273121,TRUE
"GSE191067","HK2","keloid","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",269,269,262,50,0.193541730184194,0.411461864876356,-0.217920134692162,TRUE
"GSE191067","HK2","keloid","MIF_CD74","MIF","CD74","positive",269,269,262,50,3.63415220625807,4.96157768164482,-1.32742547538675,FALSE
"GSE191067","HK3","keloid","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",62,62,50,50,0.685803020421251,0.03120976701299,0.654593253408261,TRUE
"GSE191067","HK3","keloid","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",62,62,50,50,0.0374619500197758,0.0226690918343122,0.0147928581854636,TRUE
"GSE191067","HK3","keloid","CXCL12_CXCR4","CXCL12","CXCR4","negative",62,62,50,50,1.33988143340614,1.30835806968538,0.031523363720767,FALSE
"GSE191067","HK3","keloid","CSF1_CSF1R","CSF1","CSF1R","negative",62,62,50,50,0.0028386488719194,0.0657712455547892,-0.0629325966828698,TRUE
"GSE191067","HK3","keloid","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",62,62,50,50,0.0291078215728209,0.0481089734598535,-0.0190011518870326,TRUE
"GSE191067","HK3","keloid","MIF_CD74","MIF","CD74","positive",62,62,50,50,7.79503944192117,4.03236337094651,3.76267607097466,TRUE
"GSE191067","HK-NS1","perilesional_skin","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",997,997,2921,50,0.136052841065298,0.0256902619899472,0.110362579075351,TRUE
"GSE191067","HK-NS1","perilesional_skin","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",997,997,2921,50,0.0291090019260549,0.0156742239410822,0.0134347779849727,TRUE
"GSE191067","HK-NS1","perilesional_skin","CXCL12_CXCR4","CXCL12","CXCR4","negative",997,997,2921,50,2.72298251145354,4.94197205435469,-2.21898954290115,TRUE
"GSE191067","HK-NS1","perilesional_skin","CSF1_CSF1R","CSF1","CSF1R","negative",997,997,2921,50,0.0184190798188808,0.112708256536253,-0.0942891767173725,TRUE
"GSE191067","HK-NS1","perilesional_skin","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",997,997,2921,50,0.0292006944222148,0.0381467519665065,-0.00894605754429172,TRUE
"GSE191067","HK-NS1","perilesional_skin","MIF_CD74","MIF","CD74","positive",997,997,2921,50,5.82451075119437,4.15690509951241,1.66760565168197,TRUE
"GSE191067","HK-NS2","perilesional_skin","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",249,249,256,50,0.198681722967358,0.00770675925213063,0.190974963715227,TRUE
"GSE191067","HK-NS2","perilesional_skin","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",249,249,256,50,0.0490717419144618,0.0144023039459602,0.0346694379685016,TRUE
"GSE191067","HK-NS2","perilesional_skin","CXCL12_CXCR4","CXCL12","CXCR4","negative",249,249,256,50,1.3979063456062,4.83088386319847,-3.43297751759228,TRUE
"GSE191067","HK-NS2","perilesional_skin","CSF1_CSF1R","CSF1","CSF1R","negative",249,249,256,50,0.0177072346465232,0.149448369959336,-0.131741135312813,TRUE
"GSE191067","HK-NS2","perilesional_skin","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",249,249,256,50,0.217721347252908,0.277711991496295,-0.0599906442433865,TRUE
"GSE191067","HK-NS2","perilesional_skin","MIF_CD74","MIF","CD74","positive",249,249,256,50,3.63407420310203,4.2374082562669,-0.603334053164871,FALSE
"GSE191067","HK-NS3","perilesional_skin","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",273,273,208,50,0.145546090383316,0.00537160396143191,0.140174486421884,TRUE
"GSE191067","HK-NS3","perilesional_skin","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",273,273,208,50,0.0549284575237895,0.023304443667815,0.0316240138559746,TRUE
"GSE191067","HK-NS3","perilesional_skin","CXCL12_CXCR4","CXCL12","CXCR4","negative",273,273,208,50,0.496389061813862,2.92852433095724,-2.43213526914338,TRUE
"GSE191067","HK-NS3","perilesional_skin","CSF1_CSF1R","CSF1","CSF1R","negative",273,273,208,50,0.0791827823466198,0.368741920217022,-0.289559137870402,TRUE
"GSE191067","HK-NS3","perilesional_skin","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",273,273,208,50,0.142711093402223,0.124145580781614,0.018565512620609,FALSE
"GSE191067","HK-NS3","perilesional_skin","MIF_CD74","MIF","CD74","positive",273,273,208,50,6.83743256581158,5.09983277289914,1.73759979291244,TRUE
"GSE191067","HNS1","normal_skin","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",660,660,190,50,0.0473716244302619,0.0222346795648211,0.0251369448654408,TRUE
