Data_S3_Stability: Which frozen genes are structurally stable across donor/dataset resampling?
Source file(s): anonymous_source_003.csv | Boundary: Resampling evaluates model structure; intervals are not biological confidence intervals.

mode,gene,selection_frequency,median_weight,weight_q025,weight_q975,original_frozen_gene,program
donor,ABCA10,0.994,-0.025859418570103893,-0.03443802462238611,-0.019187162883766574,True,repair
donor,ABCA8,1,-0.060661139070964674,-0.07023263807205089,-0.05065375319646773,True,repair
donor,ACAN,0.008,0,0,0,False,pathological
donor,ACTA2,0.1085,0,0,0.03348880463431379,False,pathological
donor,ADAM12,1,0.06864804807877918,0.0632556540419056,0.07655035521629489,True,pathological
donor,APOD,1,-0.0725010748949806,-0.0870290206643748,-0.06636709689273025,True,repair
donor,ASPN,1,0.06271372333947337,0.057562160874783753,0.07615737403906714,True,pathological
donor,C1QTNF3,0.765,0.03975626978951372,0,0.04770068882316865,True,pathological
donor,C3,0.877,-0.05551873176983267,-0.0757117900907669,0,True,repair
donor,CILP2,0.0135,0,0,0,False,pathological
donor,COL10A1,0,0,0,0,False,pathological
donor,COL11A1,0.2275,0,0,0.05669481916968566,False,pathological
donor,COL12A1,0.8385,0.05282275840646661,0,0.06550543490127807,True,pathological
donor,COL16A1,0.7395,0.050020389041816736,0,0.061786677288135354,True,pathological
donor,COL5A1,1,0.06796348132841276,0.06512762085073069,0.08048795101467326,True,pathological
donor,COMP,1,0.07041411273799786,0.06224027871244869,0.08289493291832953,True,pathological
donor,DCN,1,-0.06902299792850129,-0.08304082803822348,-0.05693438250702873,True,repair
donor,DPT,0,0,0,0,False,repair
donor,FAP,0.825,0.062111610053415894,0,0.07759793254540302,True,pathological
donor,FMO1,0,0,0,0,False,repair
donor,FNDC1,0.551,0.029190587127032708,0,0.04442640399656372,False,pathological
donor,GSTM5,0.7915,-0.02591194189825929,-0.042669395116254616,0,True,repair
donor,H19,0,0,0,0,False,pathological
donor,LAMP5,0.009,0,0,0,False,pathological
donor,LRRN1,0.1535,0,0,0.04990983066222924,False,pathological
donor,LUM,0,0,0,0,False,repair
donor,MFAP2,0.04,0,0,0.02591570867079799,False,pathological
donor,MMP1,0,0,0,0,False,repair
donor,NEGR1,0.707,-0.019179103077495686,-0.03156449122690644,0,True,repair
donor,OGN,0.721,0.043639525174714755,0,0.058325651635237286,True,pathological
donor,PI16,1,-0.07465837548190916,-0.08861154641528962,-0.0670119921202617,True,repair
donor,POSTN,1,0.06984028983275145,0.06591619857523778,0.08010376800216658,True,pathological
donor,PTGDS,0.2305,0,-0.0490545679593974,0,False,repair
donor,THY1,0,0,0,0,False,pathological
donor,VIT,0.321,0,-0.024017655795192636,0,False,repair
donor,WISP2,0,0,0,0,False,pathological
hierarchical_dataset_and_donor,ABCA10,0.9725,-0.023972551236580382,-0.034438613177842387,0,True,repair
hierarchical_dataset_and_donor,ABCA8,1,-0.05865197884993024,-0.06870424351561324,-0.0501533030595747,True,repair
hierarchical_dataset_and_donor,ACAN,0.1445,0,0,0.059907313786220724,False,pathological
hierarchical_dataset_and_donor,ACTA2,0.2295,0,0,0.04016222749509101,False,pathological
hierarchical_dataset_and_donor,ADAM12,1,0.06803999122078053,0.06020430916423122,0.07574748856047578,True,pathological
hierarchical_dataset_and_donor,APOD,1,-0.07239613460145511,-0.08555893870179085,-0.05927712672800439,True,repair
hierarchical_dataset_and_donor,ASPN,1,0.06259531571283856,0.04972943049764084,0.0761587425239144,True,pathological
hierarchical_dataset_and_donor,C1QTNF3,0.497,0,0,0.04836142864884965,True,pathological
hierarchical_dataset_and_donor,C3,0.842,-0.055670661465791235,-0.07682467720514666,0,True,repair
hierarchical_dataset_and_donor,CILP2,0.0125,0,0,0,False,pathological
hierarchical_dataset_and_donor,COL10A1,0,0,0,0,False,pathological
hierarchical_dataset_and_donor,COL11A1,0.235,0,0,0.05699241887742602,False,pathological
hierarchical_dataset_and_donor,COL12A1,0.687,0.04926918448622135,0,0.06593928898030017,True,pathological
hierarchical_dataset_and_donor,COL16A1,0.6785,0.050342693346155126,0,0.06166467524087522,True,pathological
hierarchical_dataset_and_donor,COL5A1,0.9995,0.06737816283189965,0.05921275972903916,0.07813416558666919,True,pathological
