Data_S16_DrugScreen: Which measured compounds shift the fixed programme?
Source file(s): anonymous_source_034.csv | Boundary: Three plate-level contrasts per compound; not efficacy estimates.

compound,replicate_n,mean_measured_fssi_reduction,ci95_low,ci95_high,paired_t_p,exact_signflip_p_two_sided,direction_support_fraction
Triamcinolone,3,0.40183902636175683,-0.31597396949063883,1.1196520222141526,0.13765138187940884,0.25,1
bFGF ,3,0.20496718545403483,-0.041137198788290114,0.45107156969635975,0.06981765772511775,0.25,1
Nintedanib,3,0.20483015017605277,-0.13297175561968072,0.5426320559717863,0.12085268634765962,0.25,1
JQ1,3,0.194330602388745,0.0400149024759171,0.3486463023015729,0.03241457104364542,0.25,1
SB431542,3,0.18995247213130084,0.004253524977321316,0.37565141928528034,0.04794244482357322,0.25,1
Repsox,3,0.18913441866331637,0.05922504994347608,0.31904378738315664,0.02454943902082604,0.25,1
CAY10585,3,0.1723869344136514,-0.15510712327657436,0.49988099210387715,0.15178119525142442,0.25,1
GW788388,3,0.17139008002088774,-0.38879806766746694,0.7315782277092424,0.31865939025409556,0.5,0.6666666666666666
Sorafenib,3,0.15862714895420058,0.037435190115291256,0.2798191077931099,0.030112795742286404,0.25,1
SAR-100842,3,0.14897138502828197,-0.409457047617077,0.707399817673641,0.36981563295311326,0.5,0.6666666666666666
5-FU,3,0.13767653320938056,0.04728946994764087,0.22806359647112023,0.02249923069099856,0.25,1
L-Ascorbic acid,3,0.10052743028915163,-0.4635003808766572,0.6645552414549605,0.5233155113895736,1,0.3333333333333333
AD*,3,0.09040215233847838,-0.1747496705672691,0.35555397524422583,0.28006691694472,0.5,0.6666666666666666
ICG-001,3,0.05584821140665822,-0.006118015259095028,0.11781443807241147,0.06052505602561031,0.25,1
DB1976,3,0.051985623302123085,-0.36293201775663053,0.4669032643608767,0.6438099583277128,0.75,0.6666666666666666
AD*+Repsox,3,0.02769200021408878,-0.1523510146133257,0.20773501504150324,0.5761603579497406,0.75,0.6666666666666666
Rosiglitazone,3,0.01923555293496129,-0.14682042730505476,0.18529153317497735,0.6676095908280459,0.75,0.6666666666666666
Protocatechuic acid,3,-0.014026328871087243,-0.28865754628284823,0.26060488854067376,0.8464553652548392,1,0.3333333333333333
Rottlerin,3,-0.040243813074839645,-0.08637819971835453,0.005890573568675235,0.06422400190296186,0.25,0
Bosentan,3,-0.08094257555634231,-0.3163708925606159,0.1544857414479313,0.277171769583208,0.5,0.3333333333333333
Imatinib,3,-0.08276163690674158,-0.52686119611466,0.3613379223011768,0.5067791569650278,0.5,0.3333333333333333
Vitamin A,3,-0.1649096787556873,-0.3043987038901693,-0.02542065362120527,0.0365417482948274,0.25,0
AD*+MSC230818,3,-0.17068920321249648,-0.4957936913230486,0.15441528489805567,0.15239456195930368,0.25,0
TGF¦Â1,3,-0.48061485787610225,-0.9212779785494155,-0.039951737202788995,0.04253332994420607,0.25,0
