Data_S12_PXD066833: Does the frozen programme translate to protein in clinical scar specimens?
Source file(s): anonymous_source_024.csv; anonymous_source_025.csv | Boundary: Twenty-six specimens; donor identity is not inferred and the score uses 11 complete-case proteins.

source_table,dataset,comparison,gene,program,detected_specimens,n_case,n_reference,mean_case,mean_reference,difference,ci_low,ci_high,p_value,fdr_within_comparison
anonymous_source_026.csv,PXD066833,keloid_vs_normal,ADAM12,pathological,16,3,1
anonymous_source_026.csv,PXD066833,keloid_vs_normal,COMP,pathological,26,3,8,15.28910165857463,12.797887523620163,2.4912141349544665,1.4895621685102158,3.4928661013987172,0.0004514103102163833,0.002832743631672624
anonymous_source_026.csv,PXD066833,keloid_vs_normal,COL5A1,pathological,26,3,8,14.628647879023546,11.20170165888877,3.426946220134777,1.8143837583901812,5.039508681879373,0.001339747801659629,0.003062280689507723
anonymous_source_026.csv,PXD066833,keloid_vs_normal,POSTN,pathological,26,3,8,19.2539442804182,16.58218277405745,2.671761506360749,1.4886698217431071,3.8548531909783907,0.004858996616551055,0.00971799323310211
anonymous_source_026.csv,PXD066833,keloid_vs_normal,FAP,pathological,26,3,8,14.856407373298078,12.222884120997005,2.6335232523010728,1.419281893959408,3.8477646106427374,0.001062278861877234,0.002832743631672624
anonymous_source_026.csv,PXD066833,keloid_vs_normal,ASPN,pathological,26,3,8,17.591293000176165,15.076243647503384,2.515049352672781,1.3958092775373234,3.6342894278082385,0.0010350656814694526,0.002832743631672624
anonymous_source_026.csv,PXD066833,keloid_vs_normal,COL12A1,pathological,26,3,8,17.96940028511947,15.462310043884678,2.507090241234792,1.650830755835817,3.363349726633767,0.00013057537359477064,0.0020892059775163303
anonymous_source_026.csv,PXD066833,keloid_vs_normal,COL16A1,pathological,26,3,8,13.861654890144825,12.481218253044066,1.3804366371007593,0.7579127349812036,2.002960539220315,0.0007379207292483137,0.002832743631672624
anonymous_source_026.csv,PXD066833,keloid_vs_normal,OGN,pathological,26,3,8,16.47538906159653,16.001009984248096,0.4743790773484342,-1.8370750382124768,2.785833192909345,0.6357668431309849,0.7265906778639827
anonymous_source_026.csv,PXD066833,keloid_vs_normal,C1QTNF3,pathological,22,3,4,11.624055776796204,8.573583235771604,3.0504725410246003,1.1479072898145313,4.953037792234669,0.013837739966156679,0.02460042660650076
anonymous_source_026.csv,PXD066833,keloid_vs_normal,PI16,repair,25,3,7,10.1680211869279,10.253469408646911,-0.08544822171901068,-1.3386903124572151,1.1677938690191938,0.878781055060473,0.878781055060473
anonymous_source_026.csv,PXD066833,keloid_vs_normal,DCN,repair,26,3,8,18.43543331545954,18.82466411535273,-0.38923079989318765,-1.4790611054463947,0.7005995056600194,0.4277802023669946,0.6222257488974466
anonymous_source_026.csv,PXD066833,keloid_vs_normal,APOD,repair,26,3,8,15.433911818522908,15.831599272166727,-0.39768745364381886,-2.106931818946327,1.3115569116586896,0.567663389823916,0.698662633629435
