accession,celltype,scarvcell_overlap,accession_auditable,n_contexts,n_cells,FSSI,equal_weight_FSSI,pathological_component,repair_component
GANIER_SPATIAL_SKIN_ATLAS,F1: Superficial,False,True,2.0,854.0,-0.29597041029934085,-0.3528306685789487,-1.0075577148546573,-0.7073981399711656
GANIER_SPATIAL_SKIN_ATLAS,F2/3: Stroma_PPARG+,False,True,2.0,13270.0,-1.1250840693115451,-1.0787758598420383,-1.3312521849481507,0.8343782037430553
GANIER_SPATIAL_SKIN_ATLAS,F2: Universal,False,True,2.0,2668.0,-1.1114905804113213,-0.9883555864964784,-0.9655703441469429,1.317244357886618
GANIER_SPATIAL_SKIN_ATLAS,F3: FRC-like,False,True,2.0,3441.0,-0.9493646842411197,-0.9762045455994565,-1.5348312951236522,0.12383170911294009
GANIER_SPATIAL_SKIN_ATLAS,F4: DP_HHIP+,False,True,2.0,888.0,-0.19123862668301872,-0.19245886914991145,-1.5397333165265392,-1.7101965919249167
GANIER_SPATIAL_SKIN_ATLAS,F4: DS_DPEP1+,False,True,2.0,9138.0,-0.6567428121225922,-0.7214386511796854,-0.9931355756645479,0.18241462032396727
GANIER_SPATIAL_SKIN_ATLAS,F4: TNN+COCH+,False,True,2.0,1224.0,-0.2469244446746436,-0.26205332595436726,-0.7718188146889833,-0.49319907877067637
GANIER_SPATIAL_SKIN_ATLAS,F5: NGFR+,False,True,2.0,636.0,-1.2109123741358143,-1.1526875142806055,-1.4628472042238057,0.8556734827028057
GANIER_SPATIAL_SKIN_ATLAS,F5: RAMP1+,False,True,2.0,208.0,-0.9994578495437996,-1.0286912910792343,-1.4114030886723379,0.4185974340624742
GANIER_SPATIAL_SKIN_ATLAS,F6: Inflammatory myofibroblast,False,True,2.0,515.0,-0.06533575066946196,-0.13929842462289455,-0.8351816523768012,-1.0201799146367019
GANIER_SPATIAL_SKIN_ATLAS,F6: Myofibroblast,False,True,2.0,460.0,0.015809698305967672,0.019723514122074202,-0.19074176196011064,-0.30705609620642454
GANIER_SPATIAL_SKIN_ATLAS,F7: Fascia-like myofibroblast,False,True,2.0,176.0,0.27735833987593356,0.19440333321836453,-0.2262646332429899,-0.9874882834350589
GANIER_SPATIAL_SKIN_ATLAS,F_Fascia,False,True,1.0,10.0,-0.46412399589574865,-0.41526216753843725,-0.8228351501231674,-0.04167408183688473
GSE123813,F1: Superficial,False,True,2.0,81.0,-0.4016760613946751,-0.596264227137672,-0.8146532819358697,-0.1806394920399212
GSE123813,F2/3: Stroma_PPARG+,False,True,2.0,16.0,-1.0384177166775006,-1.1927551482962055,-1.0706998220868167,0.9928985666071298
GSE123813,F2: Universal,False,True,2.0,6.0,-1.2423009005843308,-1.245974819118826,-0.9599627378214014,1.640409792134206
GSE123813,F3: FRC-like,False,True,2.0,41.0,-1.0386625830897147,-1.2559239403025386,-1.3636594790305077,0.5804030522703617
GSE123813,F4: DP_HHIP+,False,True,1.0,89.0,-0.14054618172750546,-0.19261364881577273,-1.3733168053197717,-1.597713151303761
GSE123813,F4: DS_DPEP1+,False,True,2.0,52.0,-0.5657227821369875,-0.8329036306615082,-0.8416484606313682,0.17665576781423492
GSE123813,F4: TNN+COCH+,False,True,2.0,37.0,-0.25988122183074597,-0.40544834924960194,-0.5118749980322601,-0.09544078614480296
GSE123813,F5: NGFR+,False,True,2.0,9.0,-1.3233022131491146,-1.4084642360365878,-1.2645664849339893,1.4061221034015452
GSE123813,F5: RAMP1+,False,True,1.0,4.0,-0.7414479669947328,-0.7767756147382969,-1.0222736743695748,0.3454717022643381
GSE123813,F6: Inflammatory myofibroblast,False,True,2.0,586.0,-0.003590295813793708,-0.03656359267713641,-0.6308480180051866,-0.8808699346205635
GSE123813,F6: Myofibroblast,False,True,2.0,76.0,0.18194094070904063,0.04069093175827017,-0.25064028813079914,-0.7918989847560785
GSE123813,F7: Fascia-like myofibroblast,False,True,2.0,46.0,0.061746359407060566,0.04883280708447368,-0.5316636055960496,-0.8984798037640038
GSE130973,F1: Superficial,True,True,1.0,2306.0,-0.690221242386437,-0.6361848265643826,-1.4712827318533512,-0.41110888160767106
GSE130973,F2/3: Stroma_PPARG+,True,True,1.0,622.0,-1.1529124695701405,-1.1125754750901402,-1.6784237895787082,0.41191902023191296
GSE130973,F2: Universal,True,True,1.0,2236.0,-1.0018885047750603,-0.8398538778292718,-1.2551861629307641,0.6447279674472824
GSE130973,F3: FRC-like,True,True,1.0,1327.0,-0.9015691347001374,-0.9032732235284872,-1.7085975402347955,-0.23637545214778674
GSE130973,F4: DS_DPEP1+,True,True,1.0,602.0,-0.5816036095169875,-0.5858513644766191,-1.1289713960023398,-0.19020839285395927
GSE130973,F4: TNN+COCH+,True,True,1.0,202.0,-0.40453301193348173,-0.32717136621784776,-0.9140779094812563,-0.3139470984863359
GSE130973,F5: NGFR+,True,True,1.0,92.0,-1.3083096944508787,-1.1913562245560967,-1.6086673826940072,0.8847925008671081
GSE130973,F5: RAMP1+,True,True,1.0,90.0,-1.2106604790439486,-1.2241092658395503,-1.6345612305669082,0.6129422794760622
GSE130973,F6: Inflammatory myofibroblast,True,True,1.0,12.0,-0.17769835878769336,-0.15450636306288404,-0.8144248613168487,-0.7201132571189883
GSE130973,F6: Myofibroblast,True,True,1.0,91.0,-0.1698878824412074,-0.18181570409237655,-0.5830479975460097,-0.41268556015465496
GSE130973,F7: Fascia-like myofibroblast,True,True,1.0,16.0,0.277142067087328,0.2279722162308709,-0.2228451761339389,-0.9821454759075202
GSE132802,F1: Superficial,False,True,1.0,224.0,-0.5611747968826236,-0.6134155308856127,-1.0073729240049034,-0.06798365644851474
GSE132802,F2/3: Stroma_PPARG+,False,True,1.0,43.0,-1.2107885242374508,-1.3024374975376405,-1.4511262738461577,0.8719020125523379
GSE132802,F2: Universal,False,True,1.0,108.0,-0.9091043586336942,-0.9406773163446142,-1.1026232873820203,0.6362343878724124
GSE132802,F3: FRC-like,False,True,1.0,267.0,-1.0188508869001478,-1.0636647731259676,-1.5051256581001125,0.3331826504257276
GSE132802,F4: DS_DPEP1+,False,True,1.0,10.0,-0.6906653496510441,-0.7581938460645586,-0.9531911498653128,0.32049273712220677
GSE132802,F4: TNN+COCH+,False,True,1.0,3.0,-0.8997496923612575,-1.0943948164917356,-1.3114603201875543,0.31922008885577796
GSE132802,F5: NGFR+,False,True,1.0,13.0,-1.5377048228119916,-1.5664174877364003,-1.6651607281835312,1.3579865420369115
GSE132802,F5: RAMP1+,False,True,1.0,5.0,-1.2215415250696358,-1.2942313178737834,-1.4634386037586231,0.880456292653195
GSE132802,F6: Inflammatory myofibroblast,False,True,1.0,1.0,-0.6163173353745574,-0.5808497769375476,-0.9772758101983291,0.10735043943181757
GSE132802,F7: Fascia-like myofibroblast,False,True,1.0,1.0,-0.06808671671406644,-0.006709914101711928,-0.9393986126554913,-1.1605003424810478
GSE138669,F1: Superficial,False,True,2.0,2653.0,-0.5174851455926803,-0.7152914488228349,-0.7057544363570301,0.25201738903576587
GSE138669,F2/3: Stroma_PPARG+,False,True,2.0,817.0,-1.6758064856833936,-1.9440703127449448,-1.5241252675222918,1.8896834941618943
GSE138669,F2: Universal,False,True,2.0,1836.0,-1.0961562519277765,-1.1375017105884822,-0.7757946669244209,1.5478797959671888
GSE138669,F3: FRC-like,False,True,2.0,1619.0,-1.4719113548117329,-1.7782399539317304,-1.5034337881907165,1.427463374812662
GSE138669,F4: DP_HHIP+,False,True,2.0,53.0,-0.48823841777199595,-0.6622247182248041,-1.479692616483474,-0.9097544295602182
GSE138669,F4: DS_DPEP1+,False,True,2.0,1717.0,-0.870064865538485,-1.2152641440686345,-0.9749346757515563,0.7221939454601859
GSE138669,F4: TNN+COCH+,False,True,2.0,1034.0,-0.5965039011898693,-0.7532213034230857,-0.8828033190297083,0.1928094704681673
